cluster_id,source_id
1,6726335126803049472
2,6726335401680992128
2,4210929599375597568
1,6870130563136993536
2,4219077255403538432
0,3110799977335256832
4,4099120601233474048
1,4088964382286883072
2,4200116417914678144
2,976941992818506496
2,3157628349359171328
2,3139315021126408320
4,5334935356970357376
2,298278851573463040
0,4044384408437099904
1,4044364166261426176
3,135141596941824640
3,134360084692051968
0,132631686772735616
1,4236836498500198016
4,4104936536709110912
2,4148873231865268608
3,3984104572502150144
0,3978257305241481856
0,3984395363263510912
3,3967312319822453248
2,3986282090856935168
0,3980443031278436736
1,3981000586753549824
3,3981598476264801920
2,3992087203013812480
0,3964180945066294528
1,3992317516340497664
3,3992498970119132288
2,3992827689735331968
2,3964755199373484288
1,4317217258168845696
2,3964876351811026048
1,3970973968420786560
1,6166851796084915584
1,6728456840634396288
1,6104606415615247232
2,6104829685196465920
3,6105638685233793280
4,4060105083960048128
4,2627766549104675328
3,6766254099022975616
2,6766383734017422720
4,4089476097557885696
2,6028699500178847744
3,6083707993811036544
1,3327580205263221248
1,6020277550277182208
1,4045843666642891264
2,4072922365908660992
2,3354194365248493056
2,4072844339263666048
2,6742859893198194560
3,6742056803031124608
3,4421620766258647168
3,4421477829743733248
3,4421478929255508864
4,4419359242634345984
3,4421572108573186432
3,4421572692688805760
4,4421573281100087424
3,4421573517322513408
3,4421573620401715456
3,4421573689121185152
1,4078520671112709760
2,4267782356387609856
3,6735150697479915264
1,2710907529588191232
2,2721250016995373440
2,4045002913792599680
4,3648059944647613056
4,4087696439216897536
1,6736530893819187968
1,5954228684209430528
1,18367036799947648
2,5956403861820588288
4,2568078598318269952
2,6708865909947065088
2,886474244804459904
3,725739423077265152
1,4072029768612166016
4,2411174200225599744
4,2411886030925507328
3,2403247816605434368
2,2399575039747339008
2,2408425936552330880
1,2403941406579729664
1,2399854521859273984
2,2391446689585357568
3,2725342090036390656
1,2731649404129452928
1,2729035654536434688
0,2722486555259745280
1,6114875751137175040
1,6115750034679276928
1,6115852323620325120
3,4052728980214282752
3,4470828339713729152
3,6123085289064908416
1,6122495366716882304
1,6122574389817903616
2,6119628424508414976
4,5895964532261317888
2,1228567805814203648
1,1227163214069445376
2,3615982311382558592
2,6284041387504558336
1,6289632060534398976
2,6289874296690002304
2,6284385328485852032
4,6288115215524489088
0,6087735612280641536
4,4172910961190433920
0,3868193373802877312
3,3869585935343923456
4,3871913257862656896
0,328271054879842432
3,4074603931481016064
4,6712504919776705024
1,4080174675860893440
3,6339782881821296640
4,6340725953560129664
1,6728990653529446784
1,6729419428705016704
3,83097107393369728
2,77469566364113792
0,2496913395405061376
0,3918003548348165120
3,6662976692649471488
3,5166063908616390272
3,6198333150455615744
1,6198462274349589888
2,6198151799755094784
4,4048735553998110976
4,6269896720170099840
1,6272194630752282880
0,6270526980850642560
2,5413575520915344512
2,5413575722769514752
1,4171070550525162496
2,6762879800918962944
1,2434552085174840192
2,2419961565874508416
3,5319591294192806272
1,4198173615228403968
4,6323570136193301760
2,6323949502064783616
3,6324063301517968256
3,6332841596195994752
4,6334193102144651008
1,4078362616331279360
1,4211342878309238400
1,4204635032769278848
2,6732385116499691520
2,6097174816523165824
2,6096884820332552960
1,4099681528334114688
4,6315383069533767680
0,6315641695284602752
3,6320090044452439040
4,6319139825888132224
1,6316249141099485440
3,6314696012205501824
2,6728143681674598144
1,6278740298350054016
4,6280592082089767936
1,6280946365352264064
2,6281251514188526848
4,6277884122388857984
1,4414664426766997504
2,6734221442683492736
2,6202703193777589504
4,3557700120572052224
1,4079621900750184064
1,4261379453486758528
4,4049166970485645696
1,5907088978579688192
1,5907168246497921792
2,1778862895796352256
3,1777867215002542976
3,3815854318218268672
2,3808011776655311488
2,4071504751794070016
0,5178926820271842048
0,6717169529136472192
1,6296816544388420608
4,6301418481586658560
3,6299432626147993856
1,6300444383003986048
4,6302736692948949760
3,6298750997658566912
2,4087503715448899200
1,4087365073904339200
1,4087373011004504960
1,4087099541843476096
2,4206149644399153280
4,4205935548859591680
4,4059316321885761280
3,6761141507421825024
1,6761252798613712640
3,6238789955673413504
1,6099618206239084288
4,5890565346063143552
1,4080942895194298880
2,4080701208795369088
0,4629164065718895104
1,4075059752087586688
2,4075019340715579904
1,6733398698743677056
2,4478576568094141952
0,2702231798729504896
1,2703351788761342208
3,6212439094363860224
2,6212499842381730048
3,6212774376690690816
1,6031544142842949504
1,1328056870644656256
1,1328056874944522880
1,1328058657351049344
1,6755956691598710144
1,6756038467772662912
0,6756080524093057792
2,6717700176637919488
1,2382148124044419968
4,2387052426940503296
2,2383492792405629952
0,2378874087654784128
3,2383723891710555136
1,6118912092685905664
1,4205460314991962752
